word,dimension,valence,source_repo,source_file
innocent,warmth,1,fraser,BWS_annotations.csv
insecure,warmth,1,fraser,BWS_annotations.csv
insensitive,warmth,1,fraser,BWS_annotations.csv
insightful,warmth,1,fraser,BWS_annotations.csv
insincere,warmth,1,fraser,BWS_annotations.csv
intelligent,warmth,1,fraser,BWS_annotations.csv
intolerant,warmth,1,fraser,BWS_annotations.csv
inventive,warmth,1,fraser,BWS_annotations.csv
irresponsible,warmth,1,fraser,BWS_annotations.csv
kind,warmth,1,fraser,BWS_annotations.csv
lazy,warmth,1,fraser,BWS_annotations.csv
lenient,warmth,1,fraser,BWS_annotations.csv
lethargic,warmth,1,fraser,BWS_annotations.csv
likable,warmth,1,fraser,BWS_annotations.csv
liked,warmth,1,fraser,BWS_annotations.csv
logical,warmth,1,fraser,BWS_annotations.csv
loyal,warmth,1,fraser,BWS_annotations.csv
maladroit,warmth,1,fraser,BWS_annotations.csv
mean,warmth,1,fraser,BWS_annotations.csv
meek,warmth,1,fraser,BWS_annotations.csv
meticulous,warmth,1,fraser,BWS_annotations.csv
moral,warmth,1,fraser,BWS_annotations.csv
motivated,warmth,1,fraser,BWS_annotations.csv
naive,warmth,1,fraser,BWS_annotations.csv
nasty,warmth,1,fraser,BWS_annotations.csv
negligent,warmth,1,fraser,BWS_annotations.csv
nice,warmth,1,fraser,BWS_annotations.csv
nonresilient,warmth,1,fraser,BWS_annotations.csv
open,warmth,1,fraser,BWS_annotations.csv
outgoing,warmth,1,fraser,BWS_annotations.csv
persistent,warmth,1,fraser,BWS_annotations.csv
pleasant,warmth,1,fraser,BWS_annotations.csv
polite,warmth,1,fraser,BWS_annotations.csv
popular,warmth,1,fraser,BWS_annotations.csv
practical,warmth,1,fraser,BWS_annotations.csv
prejudiced,warmth,1,fraser,BWS_annotations.csv
racist,warmth,1,fraser,BWS_annotations.csv
rational,warmth,1,fraser,BWS_annotations.csv
reliable,warmth,1,fraser,BWS_annotations.csv
repellent,warmth,1,fraser,BWS_annotations.csv
resentful,warmth,1,fraser,BWS_annotations.csv
resilient,warmth,1,fraser,BWS_annotations.csv
resolute,warmth,1,fraser,BWS_annotations.csv
responsible,warmth,1,fraser,BWS_annotations.csv
revengeful,warmth,1,fraser,BWS_annotations.csv
right,warmth,1,fraser,BWS_annotations.csv
rough,warmth,1,fraser,BWS_annotations.csv
rude,warmth,1,fraser,BWS_annotations.csv
scheming,warmth,1,fraser,BWS_annotations.csv
